# Input file for run_new_param.py.
# File format: 
# - 6 fields, free format
# - levels from bottom to top
# - VMRs in absolute fraction (not ppm)
# - Pressure in hPa, temperature in K
#
# Pressure (hPa), temperature (K), CO2 VMR, O VMR, O2 VMR, N2 VMR
1    -290.0
1.0677e-03 1.8988e+02 2.6940e-04 7.6600e-03 1.9650e-01 7.8490e-01
8.3153e-04 1.9156e+02 2.5910e-04 1.1140e-02 1.9360e-01 7.8390e-01
6.4760e-04 1.9358e+02 2.4790e-04 1.5560e-02 1.9010e-01 7.8250e-01
5.0435e-04 1.9592e+02 2.3510e-04 2.0810e-02 1.8630e-01 7.8090e-01
3.9279e-04 1.9834e+02 2.2120e-04 2.7020e-02 1.8180e-01 7.7910e-01
3.0590e-04 2.0090e+02 2.0530e-04 3.4020e-02 1.7690e-01 7.7710e-01
2.3824e-04 2.0354e+02 1.8860e-04 4.1860e-02 1.7140e-01 7.7510e-01
1.8554e-04 2.0662e+02 1.7110e-04 5.0440e-02 1.6550e-01 7.7290e-01
1.4450e-04 2.1038e+02 1.5430e-04 5.9780e-02 1.5920e-01 7.7050e-01
1.1254e-04 2.1533e+02 1.3790e-04 6.9950e-02 1.5230e-01 7.6780e-01
8.7642e-05 2.2193e+02 1.2320e-04 8.0920e-02 1.4500e-01 7.6470e-01
6.8256e-05 2.3110e+02 1.1040e-04 9.2800e-02 1.3740e-01 7.6110e-01
5.3158e-05 2.4390e+02 9.7680e-05 1.0570e-01 1.2940e-01 7.5670e-01
4.1399e-05 2.6109e+02 8.8080e-05 1.1980e-01 1.2110e-01 7.5140e-01
3.2242e-05 2.8426e+02 7.7730e-05 1.3520e-01 1.1250e-01 7.4490e-01
2.5110e-05 3.1466e+02 6.9240e-05 1.5190e-01 1.0380e-01 7.3740e-01
